#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Sat Nov 22 11:17:12 2025
# Process ID: 1432632
# Current directory: /home/m7malhot/e3mehta-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/m7malhot/e3mehta-pd6/build/output/xsim.log
# Journal file: /home/m7malhot/e3mehta-pd6/build/output/xsim.jou
# Running On: eceubuntu1, OS: Linux, CPU Frequency: 2300.030 MHz, CPU Physical cores: 6, Host memory: 67266 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 010009c0 0 00 00000000
[W] 010009c4 0 00 00000000
[W] 010009c8 0 00 00000000
[W] 010009cc 0 00 00000000
[W] 010009d0 0 00 00000000
[W] 010009d4 0 00 00000000
[W] 010009d8 0 00 00000000
[W] 010009dc 0 00 00000000
[W] 010009e0 0 00 00000000
[W] 010009e4 0 00 00000000
[W] 010009e8 0 00 00000000
[W] 010009ec 0 00 00000000
[W] 010009f0 0 00 00000000
[W] 010009f4 0 00 00000000
[W] 010009f8 0 00 00000000
[W] 010009fc 0 00 00000000
[W] 01000a00 0 00 00000000
[W] 01000a04 0 00 00000000
[W] 01000a08 0 00 00000000
[W] 01000a0c 0 00 00000000
[W] 01000a10 0 00 00000000
[W] 01000a14 0 00 00000000
[W] 01000a18 0 00 00000000
[W] 01000a1c 0 00 00000000
[W] 01000a20 0 00 00000000
[W] 01000a24 0 00 00000000
[W] 01000a28 0 00 00000000
[W] 01000a2c 0 00 00000000
[W] 01000a30 0 00 00000000
[W] 01000a34 0 00 00000000
[W] 01000a38 0 00 00000000
[W] 01000a3c 0 00 00000000
[W] 01000a40 0 00 00000000
[W] 01000a44 0 00 00000000
[W] 01000a48 0 00 00000000
[W] 01000a4c 0 00 00000000
[W] 01000a50 0 00 00000000
[W] 01000a54 0 00 00000000
[W] 01000a58 0 00 00000000
[W] 01000a5c 0 00 00000000
[W] 01000a60 0 00 00000000
[W] 01000a64 0 00 00000000
[W] 01000a68 0 00 00000000
[W] 01000a6c 0 00 00000000
[W] 01000a70 0 00 00000000
[W] 01000a74 0 00 00000000
[W] 01000a78 0 00 00000000
[W] 01000a7c 0 00 00000000
[W] 01000a80 0 00 00000000
[W] 01000a84 0 00 00000000
[W] 01000a88 0 00 00000000
[W] 01000a8c 0 00 00000000
[W] 01000a90 0 00 00000000
[W] 01000a94 0 00 00000000
[W] 01000a98 0 00 00000000
[W] 01000a9c 0 00 00000000
[W] 01000aa0 0 00 00000000
[W] 01000aa4 0 00 00000000
[W] 01000aa8 0 00 00000000
[W] 01000aac 0 00 00000000
[W] 01000ab0 0 00 00000000
[W] 01000ab4 0 00 00000000
[W] 01000ab8 0 00 00000000
[W] 01000abc 0 00 00000000
[W] 01000ac0 0 00 00000000
[W] 01000ac4 0 00 00000000
[W] 01000ac8 0 00 00000000
[W] 01000acc 0 00 00000000
